destino	origem	veredito	botoes_origem	botoes_destino	so_origem	so_destino	mesmo_nome_dado_diferente
sd_card_content/ir_extra_dbs/LED_Lighting/BrandUnknown/LED_Cat.ir	sd_card_content/universal_ir/assets/LED_Lighting/BrandUnknown/LED_Cat.ir	CONTEUDO_EQUIVALENTE	13	13			
sd_card_content/ir_extra_dbs/Projectors/BenQ/BenQ.ir	sd_card_content/universal_ir/assets/Projectors/BenQ/BenQ.ir	DIVERGENTE	19	6	Aspect;Auto;Down;Eco_Blank;Freeze;Left;Menu;Mute;Page_next;Page_prev;Power;Power_off;Right;Source;Up;Vol_down;Vol_up;Zoom_in;Zoom_out	Back;Home;Input;POWER;Vol_d;Vol_u	
sd_card_content/ir_extra_dbs/Projectors/Epson/Epson_4650.ir	sd_card_content/universal_ir/assets/Projectors/Epson/Epson_4650.ir	CONTEUDO_EQUIVALENTE	35	35			
sd_card_content/ir_extra_dbs/Projectors/Gateway/Gateway_210_projextor.ir	sd_card_content/universal_ir/assets/Projectors/Gateway/Gateway_210_projextor.ir	CONTEUDO_EQUIVALENTE	20	20			
sd_card_content/ir_extra_dbs/Projectors/Minolta/Minolta_MN674.ir	sd_card_content/universal_ir/assets/Projectors/Minolta/Minolta_MN674.ir	DIVERGENTE	24	24	POWER;VOL+;VOL-	Power;Vol_down;Vol_up	
sd_card_content/ir_extra_dbs/Projectors/Minolta/ReadMe.md	sd_card_content/universal_ir/assets/Projectors/Minolta/ReadMe.md	CONTEUDO_EQUIVALENTE	0	0			
sd_card_content/ir_extra_dbs/Projectors/RIF6/RIF6-cube-projector-raw.ir	sd_card_content/universal_ir/assets/Projectors/RIF6/RIF6-cube-projector-raw.ir	DIVERGENTE	11	11			Settings
sd_card_content/ir_extra_dbs/Projectors/Samsung/Samsung_VG-TM2360E.ir	sd_card_content/universal_ir/assets/Projectors/Samsung/Samsung_VG-TM2360E.ir	CONTEUDO_EQUIVALENTE	18	18			
sd_card_content/ir_extra_dbs/TVs/ContinentalEdison/ContinentalEdison_CELED502723.ir	sd_card_content/universal_ir/assets/TVs/ContinentalEdison/ContinentalEdison_CELED502723.ir	DIVERGENTE	51	51	Arrow_earth;Audio_presets;Back;Blue;Ch_next;Ch_prev;Down;Exit;Fav1;Fav2/search;Favoris;Format;Forward;Green;Guide;I(nfo);Lang;Left;Medias;Menu;Mute;Pause;Play;Power;Prev;Quick_menu;Record;Red;Rewind;Right;Sleep;Sources;Stop;Teletext;Text;Up;Video_presets;Vol_dn;Vol_up;Yellow	ARROW_EARTH;AUDIO_PRESETS;BACK;BLUE;CH+;CH-;DOWN;EXIT;FAV1;FAV2/SEARCH;FAVORIS;FORMAT;FORWARD;GREEN;GUIDE;LANG;LEFT;MEDIAS;MENU;MUTE;PAUSE;PLAY;POWER;PREV;QUICK_MENU;RECORD;RED;REWIND;RIGHT;SLEEP;SOURCES;STOP;TELETEXT;TEXT;UP;VIDEO_PRESETS;VOL+;VOL-;YELLOW;i(nfo)	
sd_card_content/ir_extra_dbs/TVs/LG/LG_AKB75855501.ir	sd_card_content/universal_ir/assets/TVs/LG/LG_AKB75855501.ir	DEST_SUPERSET	23	36		0;1;2;3;4;5;6;7;8;9;Ch_dn;Ch_up;List	
sd_card_content/ir_extra_dbs/TVs/Telefunken/Telefunken_L55U405B4CW.ir	sd_card_content/universal_ir/assets/TVs/Telefunken/Telefunken_L55U405B4CW.ir	DIVERGENTE	47	47	1st_ch;Aspect;Back;Blue;Ch_list;Ch_net_type;Ch_next;Ch_prev;Down;Exit;F_forward;Green;Info;Lang;Left;Menu;Mute;Ok;P_guide;Pause;Play;Power;Prev_ch;Q-menu;Record;Red;Rewind;Right;Smart_home;Source;Stop;Subtitle;Up;Usb;Vol_dn;Vol_up;Yellow	1ST_CH;ASPECT;BACK;BLUE;CH+;CH-;CH_LIST;CH_NET_TYPE;DOWN;EXIT;F_FORWARD;GREEN;INFO;LANG;LEFT;MENU;MUTE;OK;PAUSE;PLAY;POWER;PREV_CH;P_GUIDE;Q-MENU;RECORD;RED;REWIND;RIGHT;SMART_HOME;SOURCE;STOP;SUBTITLE;UP;USB;VOL+;VOL-;YELLOW	
sd_card_content/ir_extra_dbs/TVs/Telefunken/Telefunken_L65F249i3C.ir	sd_card_content/universal_ir/assets/TVs/Telefunken/Telefunken_L65F249i3C.ir	DIVERGENTE	33	33	Ch_next;Ch_prev;Eco_menu;Mute;Power;Skip_back;Skip_forward;Smart_tv;Vol_dn;Vol_up	CH+;CH-;Eco_Menu;MUTE;POWER;Skip_Back;Skip_Forward;Smart_Tv;VOL+;VOL-	
sd_card_content/ir_extra_dbs/TVs/Telefunken/Telefunken_d32f660x5cwi.ir	sd_card_content/universal_ir/assets/TVs/Telefunken/Telefunken_d32f660x5cwi.ir	DIVERGENTE	36	36	Ch_next;Ch_prev;Enter/ok;Mute;Power;Prime_video;Rakuten_tv;Skip_back;Skip_forward;Vol_dn;Vol_up	CH+;CH-;Enter/OK;MUTE;POWER;Prime_Video;Rakuten_TV;Skip_Back;Skip_Forward;VOL+;VOL-	
sd_card_content/ir_extra_dbs/TVs/Westinghouse/Westinghouse.ir	sd_card_content/universal_ir/assets/TVs/Westinghouse/Westinghouse.ir	DIVERGENTE	15	15	Ch_next;Ch_prev;Mute;Power;Vol_dn;Vol_up	CH+;CH-;MUTE;POWER;VOL+;VOL-	
